2.125,406.88
15,540.5
16.125,880.88
27,510
33.667,761.11
37,236
38,934
55,21
55.875,311.13
59.667,818.67
60.5,759.5
64.5,13.5
70,212
71.5,679.5
72,804
75.5,479
80.5,643.5
90.5,468.5
100.5,200
101.5,575.5
124.5,846
125.5,840.5
128.8,835.6
136.5,1023.5
160.5,673.5
162.4,848.6
181.5,166.5
186,837
186,990
198.5,944
208,485.5
211,579
218.17,481.17
219.5,844.5
223,599
230.5,472
232.5,415.5
233,942
242,679
245.13,161.13
248.5,681.5
250.62,434.62
250.18,945.82
253,620.5
259.71,260
264.45,891.14
262,1040
264.17,107.17
273.5,474.5
279.5,407
281.5,346
292.5,29.5
297.5,42.5
306.29,995
306.5,89
309,428.71
311,544
313.5,500
313.5,653.5
315,341
315,435
318,329.5
323.5,242.5
327.5,984.5
333.08,281.75
337,351
337.5,1010.5
340.17,173.17
340.67,162.67
344.64,47.786
359.5,169.5
359,843
360.62,858.62
362.5,24.5
367.13,149.88
367.5,813.5
377,306
378.88,810.88
383.5,286.5
395,932.75
395.5,737.5
398,991
404,296
404.5,504
410.67,625.33
411,168
417.88,77.875
423.39,686.22
427.29,69
428.67,173.33
434,216.5
434,245
434,888
441,515
441.88,613.13
459.5,194.5
462.88,58.875
464,55
464.2,390.4
465,582.5
465.5,654.5
466.5,959
477,262
483.43,538.46
483.5,910.5
496,190
499,134
503.7,191.1
507.88,225.13
510.33,228.33
512.8,69.6
513,202.8
512.5,710.5
513.88,551.13
514.5,402.5
515.67,537.11
519.11,203.67
522,608
523,1022
524,599
532.67,430.33
533.5,532.5
537,746.5
540.5,232.8
546,812
546.88,580.13
548.6,733.8
550.5,591.5
551.5,762.5
561.5,340
562,349
567.5,490.5
573,899
575,366
576.5,965
583.5,373.5
583.4,480.2
586.86,965.33
598.68,652.68
596.5,689.5
599,382
604,450
609,366.5
618,1037
621.64,869.91
625.67,314.33
628.5,242
631,39
643.13,329.88
644.5,294
659.5,236
660.5,313.5
663.33,319.67
665.83,306.83
667.5,370.5
668.88,168.88
668.5,828
671.22,129.33
672.8,468.5
675.5,949.5
679.2,980.4
680.09,289.36
679,436.5
684,469.5
686.11,308.67
687,927
690,325
708.6,341.2
710.64,52.909
709,285
715.33,229.67
718.5,819.5
726,217
732.19,1017.3
732.5,484.5
737,758
738.5,301.5
738.5,809
747.5,857.2
751.17,864.17
752.18,981.82
756,285
759,872
764.5,589.5
765,972
768,258
773.67,913.11
783.33,830.8
782.5,915
785,517
788.5,249
793.17,164.83
792.5,393.5
796,372
795.5,847.5
796.5,876.5
798.33,281.33
800.2,365.4
799.67,996.33
802.5,1019
807,447.5
808.36,760.09
808.88,462.13
810.67,149.33
811,805
