39.8,130.6
41.5,96.5
48.6,165.2
49,863
57,803
59,807
64.5,223.5
64.6,593.8
69.7,241.3
69.833,331.33
78,105
80.125,217.88
80.333,198.33
82.125,408.88
89.667,521.33
91.5,169.5
90.667,559.33
94.296,330.89
93.5,102
93,746
96.5,313
98,569
101.2,492
104.81,266.89
101,330
101,462
104,199
106.5,551.5
108.88,188.13
112,180.5
113.13,671.13
113.8,164.4
117.5,304
119.88,183.13
123.67,697.11
124.67,424.67
126.13,220.88
132.19,317.69
131,140.5
132.5,270
138.17,399.83
148,152.5
150.5,172.5
157.67,208.33
161.5,210.5
185.2,244.6
189.79,286.58
195.43,776.09
195.5,174.5
203.5,782.5
206.38,748
211,573
212,638
212.5,616
220,222.25
219,287
221.47,512.26
220.5,957.5
224.5,636
226.5,189
226.5,623
234.88,535.88
237.5,984.5
242.22,561.5
243.88,751.88
248.5,527.5
251,357.5
250.6,523.2
257.5,110
257,763
265,576
267.29,499
274,125.8
274.33,860.67
278.67,683.33
279.5,980.5
280.5,701.5
281,693.5
283.71,186
286,1016.5
289.5,88.5
289,462
291.36,131.91
294.5,887.83
295.17,167.17
307,522.71
308.5,683.5
310.5,185.5
310,911
317.5,105
317.84,916.16
319,181.5
322.5,943
324,106
328.88,160.88
332.83,927.83
337.5,948
342,900
345,922.5
346.88,436.13
351.67,198.33
362.13,156.88
362,924.5
366.5,429.5
367.17,686.17
371.93,970.29
371,960
379.5,422.5
381.7,102.8
381.86,680.93
389,412.71
393.88,939.13
396,354
402.88,174.13
406.8,96.5
409.88,353.13
422,159
433,258.5
438,186.5
437.5,920.5
441.3,403.9
440.67,515.67
442,337.5
446.21,362.64
444,915.5
445.4,148.2
446.5,225.5
447.69,401.75
447.67,348.33
452,215.5
455,892.5
458.13,272.13
466.2,95.4
466.17,481.17
467,188
467.5,896.5
471.33,564.48
472.2,129.4
485,136
489.5,654.5
492.4,231.8
494.5,561
494,589
498.5,461.5
500.88,196.13
503.29,436.12
503.5,443.5
506.33,648.67
507.67,78.333
514.5,647.5
516,56.5
524,499.5
527.83,166.17
530.13,446.13
529.83,470.83
533,144.5
533.67,459.11
535,435.5
540.31,445.31
539.2,782.6
546.5,477
553,166
555.8,196.6
557,172.5
574.13,160.13
575.17,154.17
580.29,107
580,124.75
597,154
607.67,158.67
607,654
617.5,155
624.5,263.5
629.5,708.5
638.5,235.5
643.5,220.5
644.5,351.5
644.5,433.5
647,413.5
651,250
652.5,712
655,178
658.13,182.88
658,347
665.5,484.5
669,466
670,494
675.5,472.5
682,515.5
704.5,526
712.5,526
718.13,530.88
726,886
731.5,886.5
740.5,812
749.11,532.26
750,943
757.5,868.5
764.5,497.5
769.5,482.5
770,495.5
773.2,752.4
780,501.5
798.5,588
815,561.5
828,518.5
894.5,79.286
911.33,105.33
917.2,102.4
945,127.71
966,329
969.2,954.6
968.5,974.5
972.13,162.88
974.13,295.42
972.5,201.5
976.5,930.71
988.5,255
988.33,343.67
988,658
991.5,773.2
995.76,371.06
993.33,305.33
1000.9,956.13
1009.5,156.5
1014.3,263.67
1020.3,176.33
1025.1,61.875
1037,172
1044.5,41.5
1054.5,481.5
1070.5,483.5
1071.1,488.88
1076.7,482.67
1081.4,201.11
1098.2,474.5
1113.5,489.35
1137.5,474.5
1152,489.25
1153.8,447.5
1157.5,514.15
1159,482
1203.5,479.5
1218.5,505.5
1228.5,118.5
1244,91
1254,495.5
1254.5,786
1256.7,680
1273.8,760.4
1274,789
1279.6,713.62
1282.2,515.91
1291.5,492.5
1293.6,462.62
1307.1,535.13
1317.5,734
1337.6,508.8
1357.5,732.5
